,BibNum,Title,Author,ISBN,PublicationYear,Publisher,Subjects,ItemType,ItemCollection,FloatingItem,ItemLocation,ReportDate,ItemCount
63,2740076,Heft / Liz Moore.,"Moore, Liz, 1983-","0393081508, 9780393081503",c2012.,"W.W. Norton,","Life change events Fiction, Self realization Fiction, Overweight men Fiction, Friendship Fiction, New York State Fiction, Domestic fiction",acbk,nafic,,gwd,10/01/2017,1
64,2861009,Oscar Peterson : the man and his jazz / Jack Batten.,"Batten, Jack, 1932-","1770492690, 9781770492691",c2012.,"Tundra Books,","Peterson Oscar 1925 2007 Juvenile literature, Pianists Canada Biography Juvenile literature, Jazz musicians Canada Biography Juvenile literature, Pianists Biography Juvenile literature, Jazz musicians Juvenile literature",acbk,nynf,,dth,10/01/2017,1
65,3229177,The murderer's ape / Jakob Wegelius ; translated from the Swedish by Peter Graves.,"Wegelius, Jakob","1101931752, 1101931760, 9781101931752, 9781101931769",[2017],"Delacorte Press,","Friendship Juvenile fiction, Gorilla Juvenile fiction, Human animal relationships Juvenile fiction, Murder Investigation Juvenile fiction, Friendship Fiction, Gorilla Fiction, Human animal relationships Fiction, Mystery and detective stories, Detective and mystery fiction, Action and adventure fiction, Mystery fiction, Adventure fiction",jcbk,ccfic,,cen,10/01/2017,1
66,3203161,Just can't let go / Mary B. Morrison.,"Morrison, Mary B.","1617730742, 9781617730740",2016.,"Dafina Books, Kensington Publishing Corp.,","African American women Fiction, Sisters Fiction, Man woman relationships Fiction",acbk,naaafic,,dth,10/01/2017,1
67,2816896,Human body factory / written by Dan Green ; illustrated by Edmond Davis.,"Green, Dan, 1975 June 20-","0753468085, 9780753468081",2012.,"Kingfisher,",Human body Juvenile literature,jcbk,ncnf,,net,10/01/2017,1
68,3050564,The secret of Pembrooke Park / Julie Klassen.,"Klassen, Julie, 1964-","0764210718, 0764212788, 9780764210716, 9780764212789",[2014],"Bethany House, a division of Baker Publishing Group,","Single women England Fiction, Secrecy Fiction, Manors Fiction, Abandoned houses Fiction, Love stories, Christian fiction, Regency fiction, Mystery fiction",acbk,nafic,,rbe,10/01/2017,1
69,3286614,Every day above ground / Glen Erik Hamilton.,"Hamilton, Glen Erik","0062567381, 9780062567383",[2017],"William Morrow, an imprint of HarperCollins Publishers,","Veterans Fiction, Seattle Wash Fiction, Thrillers Fiction, Detective and mystery fiction",acbk,nafic,,qna,10/01/2017,1
70,3131691,Chikyū no arukikata. Mekishiko = Mexico / Chikyū no Arukikata Henshūshitsu.,,"447804628X, 9784478046289",2014.,"Daiyamondo Biggusha,",Mexico Guidebooks,acbk,naln,,idc,10/01/2017,1
71,139024,Metric conversion handbook / by Marvin H. Green.,"Green, Marvin H.",,1978.,"Chemical Pub. Co.,",Metric system Conversion tables,arbk,caref,,cen,10/01/2017,1
72,2815223,North American railroads : the illustrated encyclopedia / by Brian Solomon.,"Solomon, Brian, 1966-","0760341176, 9780760341179",c2012.,"Voyageur Press,",Railroads North America Encyclopedias,acbk,nanf,,lcy,10/01/2017,1
73,1741505,Girltalk : all the stuff your sister never told you / Carol Weston.,"Weston, Carol",0060928506,1997.,"HarperPerennial,","Teenage girls Juvenile literature, Teenage girls Conduct of life Juvenile literature, Conduct of life",acbk,cynf,,cen,10/01/2017,1
74,2630178,Second nature : the inner lives of animals / Jonathan Balcombe ; foreword by J.M. Coetzee.,"Balcombe, Jonathan P.","0230613624, 9780230613621",2010.,"Palgrave Macmillan,","Animal behavior, Animal intelligence, Animal psychology, Social behavior in animals",acbk,nanf,,net,10/01/2017,1
75,3136002,I love you already! / by Jory John ; illustrated by Benji Davies.,"John, Jory","0062370952, 9780062370952",2016.,"Harper, an imprint of HarperCollinsPublishers,","Friendship Juvenile fiction, Individuality Juvenile fiction, Bears Juvenile fiction, Ducks Juvenile fiction, Friendship Fiction, Individuality Fiction, Bears Fiction, Ducks Fiction, Humorous stories",jcbk,ncpic,,dlr,10/01/2017,1
76,3228197,By all means necessary / Boogie Down Productions.,Boogie Down Productions (Musical group),,[2003],"Zomba/Jive,","Rap Music, Popular music 1981 1990",accd,cacd,,cen,10/01/2017,1
77,3202225,The hammer of Thor / Rick Riordan.,"Riordan, Rick","1423160924, 9781423160922",2016.,"Disney-Hyperion,","Fantasy Juvenile fiction, Mythology Norse Juvenile fiction, Homeless children Juvenile fiction, Quests Expeditions Juvenile fiction, Fantasy, Mythology Norse Fiction, Homeless children Fiction, Quests Expeditions Fiction",jcbk,ncfic,,uni,10/01/2017,1
78,3110738,"Being mortal [videorecording] / a Frontline production with 2over10 Media ; producer and director Thomas Jennings ; written by Thomas Jennings and Atul Gawande ; producer, Lauren Mucciolo ; director (India production unit), Nisha Pahuja ; executive producer, David Fanning.",,"1627893024, 9781627893022",c2015.,"WGBH Educational Foundation : Distributed by PBS Distribution,","Terminally ill Care, Death, Physician and patient, Nonfiction films, Documentary films, Video recordings for the hearing impaired",acdvd,nadvdnf,Floating,lcy,10/01/2017,2
79,2120536,Japan in the days of the samurai / Virginia Schomp.,"Schomp, Virginia",0761403043,2002.,"Benchmark Books,",Japan Civilization To 1868 Juvenile literature,jcbk,ncnf,,net,10/01/2017,1
80,3209871,Start the revolution without me [videorecording] / Warner Bros. ; a Bud Yorkin-Norman Lear production ; written by Fred Freeman and Lawrence J. Cohen ; produced and directed by Bud Yorkin.,,"0790779307, 9780790779300",2003.,"Warner Home Video,","France History Revolution 1789 1799 Drama, Comedy films, Feature films, Historical films, Fiction films, Video recordings for the hearing impaired",acdvd,nadvd,Floating,bal,10/01/2017,1
81,3278871,Explore makerspace ; with 25 great projects / Alicia Klepeis ; illustrated by Matt Aucoin.,"Klepeis, Alicia, 1971-","1619305623, 9781619305625",[2017],"Nomad Press,","Maker movement Juvenile literature, Creative ability Juvenile literature, Handicraft Juvenile literature, Makerspaces Juvenile literature",jcbk,ccnf,,cen,10/01/2017,1
82,3225397,A Pentatonix Christmas.,Pentatonix (Vocal group),,[2016],"RCA Records, a division of Sony Music Entertainment,","Christmas music, Carols English, Vocal quintets Unaccompanied, Christmas music, Carols",accd,nacd,Floating,cap,10/01/2017,1
83,3253510,San Francisco City guide.,,"1786715406, 9781786715401",2017.,"APA Publications,",San Francisco Calif Guidebooks,acbk,nanf,,glk,10/01/2017,1
84,2081912,Winnie-the-Pooh / A.A. Milne with decorations by Ernest H. Shepard.,"Milne, A. A. (Alan Alexander), 1882-1956",0525467564,c2001.,"Dutton Children's Books,","Winnie the Pooh Fictitious character Juvenile fiction, Toys Juvenile fiction, Bears Juvenile fiction, Animals Fiction",jcbk,ncfic,,spa,10/01/2017,1
85,1609855,"More slides : planning, producing, and presenting digital images / written for Kodak by Michael Kenny.","Kenny, Michael",0879852399,c1993.,"Eastman Kodak Co.,","Image processing Digital techniques, Slides Photography",acbk,canf,,cen,10/01/2017,2
86,2182288,Super imperialism : the origin and fundamentals of U.S. world dominance / Michael Hudson.,"Hudson, Michael, 1939-","0745319890, 0745319904",2003.,"Pluto Press,","United States Foreign economic relations, Imperialism, International finance, United States Foreign relations",acbk,canf,,cen,10/01/2017,2
87,631265,"Diccionario ilustrado de la Biblia / Wilton M. Nelson, editor ; editores asociados, Mervin J. Breneman ... [and others] ; redactores, Otto Minera ... [et al.].",,"0899220339, 0899220991",1982.,"Editorial Caribe,",Bible Dictionaries Spanish,arbk,caln,,cen,10/01/2017,1
88,2944903,The beautiful and the damned / Jessica Verday.,"Verday, Jessica","1442488352, 9781442488359",2013.,"Simon Pulse,","Memory Juvenile fiction, Demonology Juvenile fiction, Angels Juvenile fiction, Vampires Juvenile fiction, Dead Juvenile fiction, Paranormal fiction",acbk,cyfic,,cen,10/01/2017,1
89,2969356,"El barrendero [videorecording] = The street cleaner / Columbia Pictures ; Cantinflas Films S.A. ; dirigida por Miguel M. Delgado ; producida por Jacques Gelman ; argumento de Mario Moreno Reyes y Fernando Galeana ; libro cinematografico de Fernando Galiana ; dialogos adicionales, Carlos Leon.",,,[2013],"Columbia Pictures,","Street cleaners Mexico Drama, Comedy films, Feature films, Fiction films, Motion pictures Spanish",acdvd,nalndvd,Floating,bro,10/01/2017,1
90,480558,They dance in the sky : Native American star myths / [compiled by] Jean Guard Monroe and Ray A. Williamson ; illustrations by Edgar Stewart.,"Monroe, Jean Guard","039539970X, 0618809120, 9780618809127",1987.,"Houghton Mifflin,","Indians of North America Folklore Juvenile literature, Indian mythology North America Juvenile literature, Stars Folklore Juvenile literature",jcbk,ncfft,,nga,10/01/2017,1
91,2749434,Encyclopedia of tropical plants : identification and cultivation of over 3000 tropical plants / Ahmed Fayaz.,"Fayaz, Ahmed, 1968-","1554074894, 9781554074891",2011.,"Firefly Books,","Tropical plants Encyclopedias, Tropical plants Identification",acbk,nanf,,gwd,10/01/2017,1
92,2132631,Honest to God : a change of heart that can change the world / Neale Donald Walsch and Brad Blanton.,"Walsch, Neale Donald",0970693818,c2002.,"Sparrowhawk Publications,","Spiritual life, God, Truthfulness and falsehood, Self actualization Psychology",acbk,canf,,cen,10/01/2017,1
93,3297719,Kris Longknife : emissary / Mike Shepherd.,"Shepherd, Mike, 1947-","1548800619, 9781548800611",2017.,"KL & MM Books,","Longknife Kris Fictitious character Fiction, Women soldiers Fiction, Science fiction",acbk,casf,,cen,10/01/2017,2
