,UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,Creator,Subjects,Publisher,PublicationYear
49,Physical,Horizon,VIDEODISC,2005,9,3,Journey to the center of the earth [videorecording] / Twentieth Century-Fox Film Corporation ; produced by Charles Brackett ; directed by Henry Levin.,,"Science fiction films, Feature films, Video recordings for the hearing impaired","Twentieth Century Fox Home Video,",2003.
50,Physical,Horizon,BOOK,2005,9,1,"Why did the chicken cross the road? : and other riddles, old and new / compiled by Joanna Cole and Stephanie Calmenson ; illustrated by Alan Tiegreen.","Cole, Joanna","Riddles Juvenile Juvenile literature, Wit and humor Juvenile Juvenile literature, Riddles Juvenile, Wit and humor Juvenile","Beech Tree Books,",c1994.
51,Physical,Horizon,VIDEODISC,2005,9,9,Water from the well the Chieftains live over Ireland,,Folk songs Irish,,
52,Physical,Horizon,BOOK,2005,9,1,Keeping a secret : a story about juvenile rheumatoid arthritis / Elizabeth Murphy-Melas ; illustrated by April Hartmann.,"Murphy-Melas, Elizabeth","Rheumatoid arthritis in children Juvenile literature, Rheumatoid arthritis Juvenile literature, Arthritis Juvenile literature, Diseases Juvenile literature","Health Press,",c2001.
53,Physical,Horizon,BOOK,2005,9,2,Meditation express stress relief in 60 seconds flat,,Meditation,,
54,Physical,Horizon,SOUNDCASS,2005,9,1,black ice score,,"Mystery fiction, Criminals Fiction, Parker Fictitious character Fiction",,
55,Physical,Horizon,BOOK,2005,9,5,How leaves change,,"Seasons, Fall foliage, Leaves, Leaves Juvenile literature, Fall foliage Juvenile literature, Leaves Development Juvenile literature",,
56,Physical,Horizon,BOOK,2005,9,1,The storyteller's daughter / Jean Thesman.,"Thesman, Jean","Fathers and daughters Juvenile fiction, Depressions 1929 Juvenile fiction, Family life Fiction, City and town life Juvenile fiction","Houghton Mifflin,",1997.
57,Physical,Horizon,BOOK,2005,9,4,No zombies allowed,,"Parties Fiction, Halloween Fiction, Witches Fiction",,
58,Physical,Horizon,BOOK,2005,9,2,55 hikes in Stevens Pass Wild Sky area,,"Hiking Washington State Stevens Pass Guidebooks, Stevens Pass Wash Guidebooks, Hiking Washington State Wild Sky Wilderness Guidebooks, Wild Sky Wilderness Wash Guidebooks",,
59,Physical,Horizon,BOOK,2005,9,6,Deerskin,,"Fantasy fiction, Bildungsromans, Dogs Fiction, Women dog owners Fiction, Fathers and daughters Fiction, Princesses Fiction, Conflict of generations Fiction",,
60,Physical,Horizon,BOOK,2005,9,5,Rude Ralph,,"Behavior Fiction, Etiquette Fiction",,
61,Physical,Horizon,BOOK,2005,9,1,My place in space,,"Astronomy, Astronomy Juvenile literature",,
62,Physical,Horizon,BOOK,2005,9,1,Six early stories,,Mann Thomas 1875 1955 Translations into English,,
63,Physical,Horizon,BOOK,2005,9,1,Alaska / Barbara A. Somervill.,"Somervill, Barbara A.",Alaska Juvenile literature,"Children's Press,",c2002.
64,Physical,Horizon,BOOK,2005,9,1,Standardbreds / by Victor Gentle and Janet Perry.,"Gentle, Victor","Standardbred horse United States Juvenile literature, Standardbred horse Juvenile literature, Horses","Gareth Stevens Pub.,",2001.
65,Physical,Horizon,VIDEOCASS,2005,9,1,Pobre pero honrada Poor but honest,,"Feature films, Comedy films",,
66,Physical,Horizon,VIDEOCASS,2005,9,3,Anasazi the ancient ones Taj Mahal heaven on earth,,"Taj Mahal Agra India, India Religion, Pueblo Indians Antiquities, Indians of North America New Mexico Antiquities, Cliff dwellers New Mexico Chaco Canyon",,
67,Physical,Horizon,VIDEOCASS,2005,9,3,Survivor MD,,"Video recordings for the hearing impaired, Medical education United States, Physicians Case studies",,
68,Physical,Horizon,BOOK,2005,9,1,raft is not the shore conversations toward a Buddhist Christian awareness,,Religion,,
69,Physical,Horizon,VIDEOCASS,2005,9,4,Badlands,,Feature films,,
70,Physical,Horizon,SOUNDDISC,2005,9,3,blues and the abstract truth,,"Jazz 1961 1970, Saxophone music Jazz",,
71,Physical,Horizon,BOOK,2005,9,18,second summer of the sisterhood,,"Female friendship Fiction, Jeans Clothing Fiction",,
72,Physical,Horizon,BOOK,2005,9,2,See for yourself : more than 100 experiments for science fairs and projects / Vicki Cobb ; illustrated by Dave Klug.,"Cobb, Vicki","Science projects Juvenile literature, Science Experiments Juvenile literature, Experiments","Scholastic Reference,",c2001.
73,Physical,Horizon,BOOK,2005,9,1,Why dont you get a horse Sam Adams,,"United States History Revolution 1775 1783, United States History Revolution 1775 1783 Juvenile literature, Adams Samuel 1722 1803, Adams Samuel 1722 1803 Juvenile literature",,
74,Physical,Horizon,BOOK,2005,9,2,Tik Tok of Oz,,"Fantasy, Fantasy",,
75,Physical,Horizon,BOOK,2005,9,1,Any old way you choose it rock and other pop music 1967 1973,,"Rock music United States 1961 1970 History and criticism, Rock music United States 1971 1980 History and criticism, Popular music United States 1961 1970 History and criticism, Popular music United States 1971 1980 History and criticism",,
76,Physical,Horizon,SOUNDDISC,2005,9,1,Renaissance,,Popular music 1991 2000,,
77,Physical,Horizon,BOOK,2005,9,3,Lullaby babes,,"Stories in rhyme, Animals Infancy Fiction, Babies Fiction, Lullabies Fiction",,
78,Physical,Horizon,BOOK,2005,9,1,Choice theory a new psychology of personal freedom,,Psychology,,
79,Physical,Horizon,BOOK,2005,9,1,How we believe the search for God in an age of science,,"Religion and science, Faith and reason",,
80,Physical,Horizon,BOOK,2005,9,2,complete idiots guide to chess,,"Chess, Chess Rules",,
81,Physical,Horizon,BOOK,2005,9,3,Michaels book of arts crafts,,Handicraft,,
82,Physical,Horizon,BOOK,2005,9,2,gripping hand,,Science fiction,,
83,Physical,Horizon,BOOK,2005,9,2,Foundations in polymer clay design / Barbara McGuire.,"McGuire, Barbara",Polymer clay craft,"Krause Publications,",c1999.
84,Physical,Horizon,BOOK,2005,9,5,The great fuzz frenzy / written by Janet Stevens and Susan Stevens Crummel ; illustrated by Janet Stevens.,"Stevens, Janet,","Prairie dogs Juvenile fiction, Balls Sporting goods Juvenile fiction, Greed Fiction, Humorous stories","Harcourt,",2005.
85,Physical,Horizon,SOUNDCASS,2005,9,2,Mob stories of death and betrayal from organized crime,,"Mystery fiction, Organized crime Fiction, Criminals Fiction",,
86,Physical,Horizon,VIDEODISC,2005,9,4,Robert A F Thurman on Tibet,,"Tibet China History, Buddhist pilgrims and pilgrimages China Tibet, Tibet China Religious life and customs",,
87,Physical,Horizon,BOOK,2005,9,1,Shadowsinger a spellsong cycle novel,,"Fantasy fiction, Musical fiction, Wizards Fiction, Women singers Fiction, Music and magic Fiction",,
88,Physical,Horizon,SOUNDDISC,2005,9,5,I wanna be with you,,Popular music 1991 2000,,
89,Physical,Horizon,BOOK,2005,9,2,Xin li yi sheng,,"Psychotherapy, Clinical health psychology, Mental health counseling, Health Psychological aspects",,
90,Physical,Horizon,BOOK,2005,9,1,Snowfire,,"Romantic suspense fiction, Large type books",,
91,Physical,Horizon,BOOK,2005,9,2,Sporty Sprite,,"Soccer Fiction, Fairies Fiction, Fairies Juvenile fiction, Soccer Juvenile fiction",,
92,Physical,Horizon,SOUNDDISC,2005,9,4,Maps of tacit,,Popular music 1991 2000,,
93,Physical,Horizon,VIDEOCASS,2005,9,9,Thomas the Tank Engine friends Spills and chills,,"Animated films, Video recordings for the hearing impaired, Railroads Trains Fiction, Childrens films, Thomas the Tank Engine Fictitious character Fiction",,
94,Physical,Horizon,BOOK,2005,9,1,beautiful death,,"Mystery fiction, Jurnet Benjamin Fictitious character Fiction, Police England Norfolk Fiction",,
95,Physical,Horizon,VIDEODISC,2005,9,6,Kung Fu. The complete second season [videorecording] / Warner Bros. Television.,,"Kung fu Drama, Hand to hand fighting Oriental Drama, Monks Drama, Television series, Fiction television programs, Western television programs, Video recordings for the hearing impaired","Warner Home Video,",2005.
96,Physical,Horizon,BOOK,2005,9,2,The complete shorter fiction / Herman Melville ; with an introduction by John Updike.,"Melville, Herman, 1819-1891",,"A.A. Knopf,",1997.
97,Physical,Horizon,BOOK,2005,9,1,SPQR II the Catiline conspiracy,,"Historical fiction, Mystery fiction, Private investigators Rome Fiction, Rome History Republic 265 30 B C Fiction, Metellus Decius Caecilius Fictitious character Fiction",,
98,Physical,Horizon,SOUNDDISC,2005,9,1,Favorite scary stories of American children grades K 3,,"Folklore, Short stories, Ghosts Fiction, Horror fiction",,
99,Physical,Horizon,BOOK,2005,9,4,Twelve,,"Bildungsromans, Manhattan New York N Y Fiction, Juvenile delinquents Fiction",,
100,Physical,Horizon,VIDEOCASS,2005,9,1,To die to live the survivors of Hiroshima,,"Hiroshima shi Japan History Bombardment 1945, Nuclear warfare Psychological aspects",,
101,Physical,Horizon,BOOK,2005,9,1,Spring story,,"Mice Fiction, Birthdays Fiction, Picnicking Fiction",,
102,Physical,Horizon,VIDEOCASS,2005,9,1,poetry of Ireland,,"English poetry Irish authors, Poets Irish",,
103,Physical,Horizon,BOOK,2005,9,4,An embarrassment of mangoes : a Caribbean interlude / Ann Vanderhoof.,"Vanderhoof, Ann, 1952-","Vanderhoof Ann 1952 Travel West Indies, West Indies Description and travel","Broadway Books,",2003.
104,Physical,Horizon,BOOK,2005,9,12,Against depression,,"Depression Mental, Depression Mental Treatment",,
105,Physical,Horizon,BOOK,2005,9,1,The scholar in his study : ownership and experience in Renaissance Italy / Dora Thornton.,"Thornton, Dora","Studiolos Italy, Interior decoration Italy History 15th century, Interior decoration Italy History 16th century, Decoration and ornament Renaissance Italy, Decoration and ornament Italy, Renaissance Italy","Yale University Press,",c1997.
106,Physical,Horizon,BOOK,2005,9,1,Mutation,,Genetic engineering Fiction,,
107,Physical,Horizon,VIDEODISC,2005,9,7,<Unknown Title>,,"Feature films, Young women France Paris Drama",,
108,Physical,Horizon,BOOK,2005,9,1,John F. Kennedy : his life and legacy / by Shelley Sommer ; introduction by Caroline Kennedy.,"Sommer, Shelley","Kennedy John F John Fitzgerald 1917 1963 Juvenile literature, Kennedy John F John Fitzgerald 1917 1963 Influence Juvenile literature, Presidents United States Biography Juvenile literature, Presidents Juvenile literature","HarperCollins,",c2005.
109,Physical,Horizon,BOOK,2005,9,5,A brief history of time / Stephen Hawking.,"Hawking, Stephen, 1942-",Cosmology,"Bantam Books,",1998.
110,Physical,Horizon,VIDEODISC,2005,9,25,"Identity [videorecording] / Columbia Pictures ; a Konrad Pictures production ; producer, Cathy Konrad ; writer, Michael Clooney ; director, James Mangold.",,"Motels Drama, Murder Investigation Drama, Criminal behavior Drama, Identity Psychology Drama, Feature films, Thrillers Motion pictures, Video recordings for the hearing impaired","Columbia TriStar Home Entertainment,",c2003.
111,Physical,Horizon,BOOK,2005,9,1,Modern masters of horror / edited by Frank Coffey.,,Horror tales American,"Coward, McCann & Geoghegan,",c1981.
112,Physical,Horizon,BOOK,2005,9,1,Rag and bone / by Michael Nava.,"Nava, Michael","Rios Henry Fictitious character Fiction, Mexican Americans Fiction, Gay men Fiction, Los Angeles Calif Fiction, Mystery fiction, Legal stories","G.P. Putnam's Sons,",2001.
113,Physical,Horizon,BOOK,2005,9,1,sound and the fury,,Large type books,,
114,Physical,Horizon,BOOK,2005,9,1,Opportunities in biological science careers,,Biology Vocational guidance,,
115,Physical,Horizon,VIDEODISC,2005,9,1,Yoga ma baby ga mama me postnatal yoga,,"Hatha yoga for infants, Exercise for women, Hatha yoga, Postnatal care, Mothers Health and hygiene",,
116,Physical,Horizon,BOOK,2005,9,1,Tastes of paradise a social history of spices stimulants and intoxicants,,"Manners and customs, Drug abuse, Drinking customs, Spices",,
117,Physical,Horizon,SOUNDDISC,2005,9,4,Non stop erotic cabaret,,Popular music 1981 1990,,
118,Physical,Horizon,BOOK,2005,9,1,Hoshiboshi no kanashimi / Miyamoto Teru.,"Miyamoto, Teru",,"Bungei Shunjū,",1981.
119,Physical,Horizon,BOOK,2005,9,1,boats on the river,,,,
120,Physical,Horizon,BOOK,2005,9,3,Heart on my sleeve,,"Family life Fiction, Email Fiction, Letters Fiction, Interpersonal relations Fiction, Singers Fiction",,
121,Physical,Horizon,BOOK,2005,9,29,"Corduroy, story and pictures by Don Freeman.","Freeman, Don, 1908-1978","Toys Juvenile fiction, Fantasy Fiction, Picture books Juvenile fiction","Viking Press,",[1968]
122,Physical,Horizon,BOOK,2005,9,1,The environmental movement : from its roots to the challenges of a new century / Laurence Pringle.,"Pringle, Laurence, 1935-","Environmentalism History Juvenile literature, Environmental protection Juvenile literature, Environmentalists Juvenile literature","HarperCollins,",c2000.
123,Physical,Horizon,BOOK,2005,9,4,Atomic Iran how the terrorist regime bought the bomb and American politicians,,"Iran Foreign relations United States, United States Foreign relations Iran, Iran Military policy, Nuclear arms control Iran, Nuclear weapons Iran",,
124,Physical,Horizon,BOOK,2005,9,1,Beginners Final Cut Pro learn to edit digital video,,"Digital video Editing, Final cut Electronic resource, Macintosh Computer Programming",,
125,Physical,Horizon,SOUNDDISC,2005,9,7,Roses in the snow,,Country music 1971 1980,,
126,Physical,Horizon,BOOK,2005,9,1,secret of the wooden lady,,"Mystery and detective stories, Drew Nancy Fictitious character Fiction",,
127,Physical,Horizon,BOOK,2005,9,12,Cracking the GRE,,Graduate Record Examination Study guides Periodicals,,
128,Physical,Horizon,BOOK,2005,9,1,The republic / Plato ; translated by A.D. Lindsay ; with an introduction by Alexander Nehamas and notes by Renford Bambrough.,Plato,"Political science Early works to 1800, Utopian fiction","Knopf,",c1992.
129,Physical,Horizon,BOOK,2005,9,2,everything sailing book from rigging to reaching all of the information you need to set sail,,Sailing,,
130,Physical,Horizon,BOOK,2005,9,5,Answers to distraction,,Attention deficit hyperactivity disorder Miscellanea,,
131,Physical,Horizon,SOUNDDISC,2005,9,4,The very best of Todd Rundgren [sound recording].,"Rundgren, Todd","Popular music 1971 1980, Popular music 1981 1990, Rock music 1971 1980, Rock music 1981 1990","Rhino,",p1997.
132,Physical,Horizon,BOOK,2005,9,2,Almost like being in love,,"Love stories, Witnesses Fiction, Veterans Fiction",,
133,Physical,Horizon,BOOK,2005,9,1,"Names from Africa; their origin, meaning, and pronunciation. Edited and with a commentary by Keith E. Baird.","Chuks-orji, Ogonna, 1942-",Names Personal Africa,"Johnson Pub. Co.,",1972.
134,Physical,Horizon,BOOK,2005,9,3,Hurricane hunters,,"Meteorology, Hurricanes, Airplanes, Aeronautics in meteorology Juvenile literature, Hurricanes Research Juvenile literature",,
135,Physical,Horizon,BOOK,2005,9,1,Culture shock Denmark,,"Denmark Social life and customs, Etiquette Denmark",,
136,Physical,Horizon,BOOK,2005,9,2,Talking in the dark a poetry memoir,,"Merrell Billy Poetry, Gay youth Poetry",,
137,Physical,Horizon,BOOK,2005,9,1,Six minute nature experiments,,"Scientific recreations, Science Experiments, Experiments, Science Experiments Juvenile literature, Scientific recreations Juvenile literature",,
138,Physical,Horizon,BOOK,2005,9,1,The Renaissance : a short history / Paul Johnson.,"Johnson, Paul, 1928-","Renaissance, Civilization Medieval, Europe History 15th century, Europe History 16th century, Europe Intellectual life 16th century, Italy Civilization 1268 1559","Modern Library,",2000.
139,Physical,Horizon,BOOK,2005,9,2,greatest survivor stories never told,,Survival after airplane accidents shipwrecks etc,,
140,Physical,Horizon,BOOK,2005,9,2,Little penguin,,"Size Fiction, Penguins Fiction, Emperor penguin Fiction, Adperor penguin Fiction",,
141,Physical,Horizon,BOOK,2005,9,2,glitter dome,,,,
142,Physical,Horizon,BOOK,2005,9,1,Masterpieces of the J. Paul Getty Museum. Drawings.,J. Paul Getty Museum,"J Paul Getty Museum Catalogs, Drawing European Catalogs, Drawing California Malibu Catalogs","The Museum,",c1997.
143,Physical,Horizon,BOOK,2005,9,7,"Design on a dime / [editor, Amy Tincher-Durik].",,"Interior decoration, House furnishings, Cost control","Meredith Books,",c2004.
144,Physical,Horizon,BOOK,2005,9,5,Are you a butterfly,,"Butterflies, Butterflies Juvenile literature",,
145,Physical,Horizon,SOUNDCASS,2005,9,1,Dusk,,"Piano music, New Age music",,
146,Physical,Horizon,BOOK,2005,9,1,Coping with grieving and loss / Sandra and Owen Giddens.,"Giddens, Sandra","Grief in adolescence Juvenile literature, Bereavement in adolescence Juvenile literature, Loss Psychology in adolescence Juvenile literature, Teenagers and death Juvenile literature, Grief Juvenile literature, Death Juvenile literature, Loss Psychology Juvenile literature","Rosen Pub. Group,",2000.
147,Physical,Horizon,VIDEOCASS,2005,9,6,Arlington Road,,"Video recordings for the hearing impaired, Feature films, Terrorists United States Drama",,
148,Physical,Horizon,BOOK,2005,9,1,Rediscovering the I ching,,"Yi jing, Divination China",,
149,Physical,Horizon,BOOK,2005,9,1,In a heartbeat,,"Romantic suspense fiction, New York N Y Fiction, Police New York State New York Fiction, Millionaires Fiction, Coma Patients Fiction",,
150,Physical,Horizon,BOOK,2005,9,7,Lady in red,,"Love stories, Historical fiction, Inheritance and succession England Fiction",,
151,Physical,Horizon,SOUNDDISC,2005,9,5,AM gold 1966,,"Rock music 1961 1970, Popular music 1961 1970",,
152,Physical,Horizon,SOUNDCASS,2005,9,2,boxcar children,,Railroads Cars Fiction,,
153,Physical,Horizon,MUSIC,2005,9,1,The Essential Johnny Cash [music],"Cash, Johnny","Country music, Ballads English United States","Hal Leonard,",[1998?]
154,Physical,Horizon,BOOK,2005,9,2,Victors adventure in Alphabet Town,,"Animals Fiction, Alphabet, African Americans Fiction, Veterinarians Fiction",,
155,Physical,Horizon,SOUNDDISC,2005,9,1,New romance and doin all right,,Piano music Jazz,,
156,Physical,Horizon,SOUNDCASS,2005,9,1,Como crear abundancia la conciencia de la riqueza en el campo de todas las posibilidades,,"Meditation, Wealth Psychological aspects, Wealth Miscellanea",,
157,Physical,Horizon,BOOK,2005,9,1,guide to Kenya and northern Tanzania,,"Natural history Kenya, Natural history Tanzania, Kenya Guidebooks, Tanzania Guidebooks",,
158,Physical,Horizon,BOOK,2005,9,1,Bambert's book of missing stories / Reinhardt Jung ; translated by Anthea Bell.,"Jung, Reinhardt, 1949-","Authorship Juvenile fiction, Friendship Fiction, Love Fiction, Recluses Juvenile fiction, People with disabilities Juvenile fiction","Knopf : Distributed by Random House,",2004.
159,Physical,Horizon,BOOK,2005,9,1,childrens war,,"Large type books, War stories, Historical fiction, Jewish girls Fiction, Boys Fiction, Paris France Fiction, World War 1939 1945 France Paris Fiction, World War 1939 1945 Children Fiction, World War 1939 1945 Germany Hamburg Fiction, Hamburg Germany Fiction",,
160,Physical,Horizon,BOOK,2005,9,4,Pelles new suit picture book,,,,
161,Physical,Horizon,BOOK,2005,9,1,Jaws,,"Horror fiction, Sharks Fiction",,
162,Physical,Horizon,SOUNDDISC,2005,9,3,Sticks scones,,"Mystery fiction, Bear Goldy Fictitious character Fiction, Women in the food industry Fiction, Cookery Fiction",,
163,Physical,Horizon,BOOK,2005,9,4,Alpine icon,,"Lord Emma Fictitious character Fiction, Women detectives Washington State Fiction",,
164,Physical,Horizon,SOUNDDISC,2005,9,10,Latin groove,,"Popular music Latin America 1991 2000, Popular music Latin America 2001 2010",,
165,Physical,Horizon,BOOK,2005,9,1,Madrid,,"Madrid Spain, Madrid Spain Juvenile literature",,
166,Physical,Horizon,MIXED,2005,9,1,ILLM COPING WITH POST TRAUMATIC STRESS DISORDER PSTD,,,,
